"state","num_residents_2015_white_nh","num_residents_2015_black_nh","num_residents_2016_white_nh","num_residents_2016_black_nh","num_residents_2017_white_nh","num_residents_2017_black_nh","num_residents_2018_white_nh","num_residents_2018_black_nh","num_residents_2019_white_nh","num_residents_2019_black_nh","num_incarcerated_2015_black_nh","num_incarcerated_2016_black_nh","num_incarcerated_2017_black_nh","num_incarcerated_2018_black_nh","num_incarcerated_2019_black_nh","num_incarcerated_2015_white_nh","num_incarcerated_2016_white_nh","num_incarcerated_2017_white_nh","num_incarcerated_2018_white_nh","num_incarcerated_2019_white_nh","white_incarceration_rate_2015","white_incarceration_rate_2016","white_incarceration_rate_2017","white_incarceration_rate_2018","white_incarceration_rate_2019","black_incarceration_rate_2015","black_incarceration_rate_2016","black_incarceration_rate_2017","black_incarceration_rate_2018","black_incarceration_rate_2019","white_incarceration_rate_2015_2019","black_incarceration_rate_2015_2019","incarceration_RR"
"Georgia",7263580,4361792,7250444,4431542,7228852,4496340,7201946,4553182,7182056,4611506,31824,32558,32200,32083,32640,18069,18754,19153,19165,19811,248.761629940057,258.660021372484,264.952166678748,266.108632305768,275.840232936084,729.60838114243,734.687835520909,716.138014473994,704.628104038011,707.794807162779,262.864536646628,718.571428467625,2.73361875905538
"Hawaii",435024,41052,427276,42306,415000,42368,404396,42560,393806,42438,276,273,272,224,225,1304,1263,1300,1216,1233,299.753576814153,295.593480560574,313.253012048193,300.695358015411,313.098327602931,672.318035662087,645.298539214296,641.993957703928,526.315789473684,530.185211367171,304.478751008252,603.222306684233,1.98116388971881
"Idaho",1736500,15270,1755926,16430,1779950,17346,1802726,18088,1829942,18768,209,211,NA,247,286,6082,6102,NA,6495,8213,350.24474517708,347.50894969378,NA,360.287697631254,448.812038851505,1368.69679109365,1284.23615337797,NA,1365.5462184874,1523.87041773231,376.713357838405,1385.58739517283,3.67809467421963
"Illinois",10592006,2472448,10445460,2451188,10291408,2427858,10120474,2405116,9951658,2384100,26571,24671,23401,22159,20880,13604,13210,12453,12378,12240,128.436483136433,126.466426562353,121.00385097938,122.306524378206,122.994580400572,1074.6838760613,1006.49154614008,963.853734444107,921.327703112864,875.802189505474,124.241573091389,968.431809852763,7.79474845461276
"Indiana",6962730,824170,6923118,832504,6879048,840796,6839264,852538,6798750,861964,9309,8793,8902,9032,8994,16659,15495,15869,16540,16813,239.259600760047,223.815338695657,230.685990270747,241.838887927122,247.29545872403,1129.49998179987,1056.21114132785,1058.75860494103,1059.42491712979,1043.43104816442,236.579055275521,1069.46513867259,4.52054023728809
"Iowa",3491288,142342,3466320,148272,3439892,154864,3411240,159858,3384998,165816,2220,2286,2249,2373,2321,5814,5897,5939,6207,6116,166.528799686534,170.12278150892,172.650769268337,181.957294121786,180.679574995318,1559.624004159,1541.76108773066,1452.24196714537,1484.44244266787,1399.74429488107,174.387843916179,1487.56275931679,8.53019755225486
"Kansas",2884230,231220,2858128,229932,2829308,228194,2803800,227576,2774310,226052,2851,2849,2778,2781,2760,5627,5602,5719,5847,5847,195.095398078517,196.002418366147,202.134232116122,208.538412154933,210.755106675173,1233.02482484214,1239.06198354296,1217.38520732359,1222.0093507224,1220.95800966149,202.505113478178,1226.48787521852,6.05657730885241
"Kentucky",4975110,487770,4946136,490370,4919412,495538,4887308,496674,4853226,499732,4738,4853,4972,4893,4853,16258,17411,17760,17729,17395,326.786744413691,352.012156560192,361.018755900095,362.755938443004,358.421388165315,971.359452200832,989.660868323919,1003.35393047556,985.153239348144,971.120520599041,352.198996696459,984.1296021895,2.79424305980538
"Louisiana",3637050,2000812,3613782,2002474,3570494,1997464,3526390,1989164,3482148,1980428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maine",1630156,24126,1618782,25522,1607682,26340,1597298,27390,1587216,29282,192,213,252,261,228,1948,2043,1985,1963,1778,119.497765857992,126.205999325419,123.469691145388,122.895038997106,112.020040120563,795.821934842079,834.574092939425,956.719817767654,952.902519167579,778.635339116181,120.817707089294,863.730740766583,7.14904099386872
