"Label (Grouping)","Total:","Total:!!Male:","Total:!!Male:!!Less than high school diploma","Total:!!Male:!!High school graduate (includes equivalency)","Total:!!Male:!!Some college or associate's degree","Total:!!Male:!!Bachelor's degree or higher","Total:!!Female:","Total:!!Female:!!Less than high school diploma","Total:!!Female:!!High school graduate (includes equivalency)","Total:!!Female:!!Some college or associate's degree","Total:!!Female:!!Bachelor's degree or higher"
"    Estimate","27,008","15,687","1,523","3,777","6,440","3,947","11,321","1,079","2,238","4,398","3,606"
"    Margin of Error","±667","±480","±296","±560","±528","±484","±438","±254","±311","±456","±327"
"New York","","","","","","","","","","",""
"    Estimate","2,054,954","914,857","155,893","313,566","255,464","189,934","1,140,097","176,565","326,014","333,342","304,176"
"    Margin of Error","±5,531","±3,174","±2,908","±3,992","±3,369","±3,118","±3,356","±2,935","±3,892","±4,145","±3,785"
"North Carolina","","","","","","","","","","",""
"    Estimate","1,435,294","642,306","105,065","224,602","201,569","111,070","792,988","102,204","210,478","285,914","194,392"
"    Margin of Error","±2,514","±1,668","±2,426","±3,104","±2,749","±2,615","±1,713","±2,401","±3,313","±3,665","±3,087"
"North Dakota","","","","","","","","","","",""
"    Estimate","11,984","7,276","630","2,043","2,929","1,674","4,708","970","1,245","1,446","1,047"
"    Margin of Error","±425","±378","±281","±389","±457","±425","±282","±290","±298","±298","±243"
"Ohio","","","","","","","","","","",""
"    Estimate","911,714","420,846","64,160","152,666","138,154","65,866","490,868","64,781","145,516","189,818","90,753"
"    Margin of Error","±1,932","±1,234","±1,503","±1,943","±2,194","±1,923","±1,433","±1,777","±2,350","±2,626","±2,115"
"Oklahoma","","","","","","","","","","",""
"    Estimate","177,080","86,962","10,281","32,027","29,313","15,341","90,118","9,030","28,020","33,908","19,160"
"    Margin of Error","±1,123","±773","±608","±994","±974","±798","±715","±615","±1,031","±993","±793"
"Oregon","","","","","","","","","","",""
"    Estimate","50,259","27,395","3,076","6,733","9,758","7,828","22,864","2,960","4,867","9,242","5,795"
"    Margin of Error","±763","±623","±405","±578","±771","±581","±475","±447","±586","±644","±533"
"Pennsylvania","","","","","","","","","","",""
"    Estimate","902,460","419,507","61,023","172,956","114,995","70,533","482,953","62,171","164,043","154,381","102,358"
"    Margin of Error","±2,456","±1,505","±1,718","±2,289","±2,682","±2,078","±1,499","±2,026","±2,873","±2,781","±2,124"
"Rhode Island","","","","","","","","","","",""
"    Estimate","43,097","21,507","2,977","6,742","7,224","4,564","21,590","3,509","7,113","6,407","4,561"
"    Margin of Error","±1,005","±701","±496","±599","±724","±551","±672","±459","±703","±619","±567"
"South Carolina","","","","","","","","","","",""
"    Estimate","870,680","388,563","77,790","156,539","106,907","47,327","482,117","74,625","158,108","159,553","89,831"
"    Margin of Error","±1,663","±1,024","±1,913","±2,797","±2,411","±1,938","±1,121","±1,949","±2,947","±2,763","±2,601"
"South Dakota","","","","","","","","","","",""
"    Estimate","9,371","6,051","929","2,012","2,056","1,054","3,320","1,046","967","820","487"
"    Margin of Error","±374","±307","±345","±387","±288","±288","±296","±262","±230","±287","±195"
"Tennessee","","","","","","","","","","",""
"    Estimate","710,073","323,197","50,752","122,525","95,987","53,933","386,876","48,744","116,764","130,441","90,927"
"    Margin of Error","±1,803","±1,211","±1,772","±2,270","±1,920","±1,720","±1,177","±1,590","±2,511","±2,409","±2,322"
"Texas","","","","","","","","","","",""
"    Estimate","2,165,688","1,014,227","114,792","330,021","344,918","224,496","1,151,461","106,736","300,755","436,433","307,537"
"    Margin of Error","±3,696","±2,434","±2,953","±4,864","±4,921","±4,381","±2,791","±2,799","±4,019","±4,604","±4,085"
"Utah","","","","","","","","","","",""
"    Estimate","18,531","11,274","1,207","2,984","4,229","2,854","7,257","1,103","1,707","2,777","1,670"
"    Margin of Error","±539","±357","±249","±424","±420","±394","±347","±271","±294","±399","±269"
"Vermont","","","","","","","","","","",""
"    Estimate","4,282","2,610","358","539","816","897","1,672","119","286","628","639"
"    Margin of Error","±248","±233","±121","±158","±207","±173","±156","±70","±92","±105","±155"
"Virginia","","","","","","","","","","",""
"    Estimate","1,072,984","500,520","76,648","169,198","146,259","108,415","572,464","74,061","151,554","194,122","152,727"
"    Margin of Error","±2,372","±1,825","±1,788","±3,167","±2,862","±2,357","±1,573","±1,824","±2,929","±2,711","±2,321"
"Washington","","","","","","","","","","",""
"    Estimate","180,350","98,960","8,772","26,001","39,196","24,991","81,390","9,588","19,266","32,133","20,403"
"    Margin of Error","±1,698","±1,042","±781","±1,333","±1,453","±1,092","±1,150","±677","±991","±1,183","±1,072"
"West Virginia","","","","","","","","","","",""
"    Estimate","43,749","24,329","2,797","10,252","8,002","3,278","19,420","1,730","6,990","7,333","3,367"
"    Margin of Error","±700","±511","±339","±686","±633","±422","±450","±305","±473","±452","±338"
"Wisconsin","","","","","","","","","","",""
"    Estimate","212,316","100,031","18,603","37,859","32,096","11,473","112,285","16,441","34,541","41,760","19,543"
"    Margin of Error","±1,026","±807","±853","±1,142","±1,086","±740","±712","±701","±1,083","±1,166","±812"
"Wyoming","","","","","","","","","","",""
"    Estimate","3,206","1,881","80","443","743","615","1,325","157","329","510","329"
"    Margin of Error","±360","±248","±51","±171","±237","±188","±251","±89","±139","±196","±155"
"Puerto Rico","","","","","","","","","","",""
"    Estimate","281,690","136,616","38,808","44,510","32,386","20,912","145,074","32,863","37,944","38,071","36,196"
"    Margin of Error","±4,970","±2,772","±1,571","±1,492","±1,353","±1,088","±3,170","±1,326","±1,582","±1,486","±1,448"
